Column1,Released,Released Worldwide,Title,Theatrical Distributor,Genre,Source,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,International Box Office,Worldwide Box Office
85,5/23/2014,5/21/2014,X-Men: Days of Future Past,20th Century Fox,Action,Based on Comic/Graphic Novel,Super Hero,200000000,3996,4001,23983,90823660,233921534,513941241,747862775
86,11/4/2016,10/24/2016,Doctor Strange,Walt Disney,Action,Based on Comic/Graphic Novel,Super Hero,165000000,3882,3882,24582,85058311,232641920,443762646,676404566
87,11/17/2017,11/13/2017,Justice League,Warner Bros.,Action,Based on Comic/Graphic Novel,Super Hero,300000000,4051,4051,22381,93842239,229024295,426920914,655945209
88,5/16/2013,5/16/2013,Star Trek Into Darkness,Paramount Pictures,Adventure,Based on TV,Science Fiction,190000000,3868,3907,22815,70165559,228778661,238602923,467381584
89,10/2/2015,9/30/2015,The Martian,20th Century Fox,Thriller/Suspense,Based on Fiction Book/Short Story,Science Fiction,108000000,3831,3854,31994,54308575,228433663,426837780,655271443
90,3/3/2017,2/23/2017,Logan,20th Century Fox,Action,Based on Comic/Graphic Novel,Super Hero,127000000,4071,4071,23365,88411916,226277068,387951364,614228432
91,4/14/2017,4/7/2017,The Fate of the Furious,Universal,Action,Original Screenplay,Contemporary Fiction,250000000,4310,4329,24612,98786705,225764765,1010939031,1236703796
92,11/7/2014,10/25/2014,Big Hero 6,Walt Disney,Adventure,Original Screenplay,Super Hero,165000000,3761,3773,32851,56215889,222527828,428190000,650717828
93,7/27/2018,7/16/2018,Mission: Impossible—Fallout,Paramount Pictures,Action,Based on TV,Contemporary Fiction,178000000,4386,4395,27928,61236534,220159104,567017625,787176729
94,6/29/2012,6/29/2012,Ted,Universal,Comedy,Original Screenplay,Contemporary Fiction,50000000,3239,3303,25021,54415205,218665740,337350887,556016627
95,3/26/2010,3/26/2010,How to Train Your Dragon,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Fantasy,165000000,4055,4060,33192,43732319,217581232,277289760,494870992
96,7/6/2018,7/3/2018,Ant-Man and the Wasp,Walt Disney,Action,Based on Comic/Graphic Novel,Super Hero,130000000,4206,4206,24732,75812205,216648740,406495920,623144660
97,6/8/2012,6/8/2012,Madagascar 3: Europe's Most Wanted,Paramount Pictures,Adventure,Original Screenplay,Kids Fiction,145000000,4258,4263,26837,60316738,216391482,530529789,746921271
98,11/2/2018,10/26/2018,Bohemian Rhapsody,20th Century Fox,Drama,Based on Real Life Events,Dramatization,55000000,4000,4000,35008,51061119,216303339,683379161,899682500
99,10/5/2018,10/5/2018,A Star is Born,Warner Bros.,Drama,Remake,Contemporary Fiction,36000000,3686,3904,36697,42908051,215288866,217126144,432415010
100,3/2/2012,3/1/2012,Doctor Seuss' The Lorax,Universal,Adventure,Based on Fiction Book/Short Story,Kids Fiction,67500000,3729,3769,29339,70217070,214030500,136946253,350976753
